time_iso8601,stars_cumulative
2020-05-03 00:00:00+00:00,757
2020-05-04 00:00:00+00:00,758
2020-05-05 00:00:00+00:00,759
2020-05-06 00:00:00+00:00,761
2020-05-07 00:00:00+00:00,762
2020-05-08 00:00:00+00:00,763
2020-05-09 00:00:00+00:00,764
2020-05-10 00:00:00+00:00,766
2020-05-11 00:00:00+00:00,767
2020-05-12 00:00:00+00:00,768
2020-05-14 00:00:00+00:00,769
2020-05-17 00:00:00+00:00,770
2020-05-18 00:00:00+00:00,771
2020-05-19 00:00:00+00:00,772
2020-05-21 00:00:00+00:00,773
2020-05-22 00:00:00+00:00,775
2020-05-28 00:00:00+00:00,778
2020-05-30 00:00:00+00:00,780
2020-05-31 00:00:00+00:00,783
2020-06-03 00:00:00+00:00,784
2020-06-09 00:00:00+00:00,785
2020-06-10 00:00:00+00:00,786
2020-06-11 00:00:00+00:00,788
2020-06-16 00:00:00+00:00,789
2020-06-18 00:00:00+00:00,791
2020-06-23 00:00:00+00:00,794
2020-06-27 00:00:00+00:00,796
2020-06-28 00:00:00+00:00,797
2020-07-01 00:00:00+00:00,799
2020-07-10 00:00:00+00:00,800
2020-07-11 00:00:00+00:00,801
2020-07-15 00:00:00+00:00,802
2020-07-16 00:00:00+00:00,804
2020-07-17 00:00:00+00:00,805
2020-07-23 00:00:00+00:00,806
2020-07-25 00:00:00+00:00,807
2020-07-26 00:00:00+00:00,808
2020-07-27 00:00:00+00:00,810
2020-07-29 00:00:00+00:00,811
2020-07-30 00:00:00+00:00,812
2020-07-31 00:00:00+00:00,813
2020-08-02 00:00:00+00:00,816
2020-08-03 00:00:00+00:00,817
2020-08-04 00:00:00+00:00,818
2020-08-05 00:00:00+00:00,819
2020-08-08 00:00:00+00:00,820
2020-08-12 00:00:00+00:00,822
2020-08-14 00:00:00+00:00,823
2020-08-27 00:00:00+00:00,825
2020-08-28 00:00:00+00:00,826
2020-09-01 00:00:00+00:00,828
2020-09-04 00:00:00+00:00,829
2020-09-06 00:00:00+00:00,831
2020-09-07 00:00:00+00:00,832
2020-09-08 00:00:00+00:00,833
2020-09-09 00:00:00+00:00,834
2020-09-10 00:00:00+00:00,835
2020-09-11 00:00:00+00:00,836
2020-09-15 00:00:00+00:00,838
2020-09-18 00:00:00+00:00,839
2020-09-20 00:00:00+00:00,840
2020-09-23 00:00:00+00:00,841
2020-09-26 00:00:00+00:00,842
2020-09-28 00:00:00+00:00,843
2020-10-01 00:00:00+00:00,844
2020-10-05 00:00:00+00:00,845
2020-10-07 00:00:00+00:00,847
2020-10-09 00:00:00+00:00,848
2020-10-11 00:00:00+00:00,850
2020-10-12 00:00:00+00:00,851
2020-10-17 00:00:00+00:00,852
2020-10-18 00:00:00+00:00,853
2020-10-29 00:00:00+00:00,855
2020-11-01 00:00:00+00:00,856
2020-11-02 00:00:00+00:00,858
2020-11-04 00:00:00+00:00,859
2020-11-05 00:00:00+00:00,860
2020-11-06 00:00:00+00:00,862
2020-11-10 00:00:00+00:00,864
2020-11-12 00:00:00+00:00,865
2020-11-17 00:00:00+00:00,866
2020-11-19 00:00:00+00:00,867
2020-11-20 00:00:00+00:00,868
2020-11-21 00:00:00+00:00,875
2020-11-25 00:00:00+00:00,876
2020-11-28 00:00:00+00:00,877
2020-11-30 00:00:00+00:00,878
2020-12-01 00:00:00+00:00,883
2020-12-06 00:00:00+00:00,884
2020-12-07 00:00:00+00:00,886
2020-12-09 00:00:00+00:00,887
2020-12-14 00:00:00+00:00,888
2020-12-15 00:00:00+00:00,889
2020-12-17 00:00:00+00:00,890
2020-12-23 00:00:00+00:00,891
2020-12-30 00:00:00+00:00,892
2021-01-03 00:00:00+00:00,894
2021-01-05 00:00:00+00:00,895
2021-01-06 00:00:00+00:00,896
2021-01-07 00:00:00+00:00,897
2021-01-08 00:00:00+00:00,898
2021-01-10 00:00:00+00:00,900
2021-01-26 00:00:00+00:00,901
2021-01-28 00:00:00+00:00,902
2021-01-29 00:00:00+00:00,903
2021-02-03 00:00:00+00:00,904
2021-02-05 00:00:00+00:00,905
2021-02-08 00:00:00+00:00,906
2021-02-09 00:00:00+00:00,908
2021-02-11 00:00:00+00:00,909
2021-02-20 00:00:00+00:00,912
2021-02-27 00:00:00+00:00,913
2021-03-01 00:00:00+00:00,914
2021-03-02 00:00:00+00:00,915
2021-03-07 00:00:00+00:00,916
2021-03-11 00:00:00+00:00,917
2021-03-18 00:00:00+00:00,918
2021-03-19 00:00:00+00:00,919
2021-03-20 00:00:00+00:00,920
2021-03-22 00:00:00+00:00,921
2021-03-27 00:00:00+00:00,923
2021-03-29 00:00:00+00:00,924
2021-04-02 00:00:00+00:00,925
2021-04-04 00:00:00+00:00,926
2021-04-06 00:00:00+00:00,928
2021-04-07 00:00:00+00:00,934
2021-04-08 00:00:00+00:00,936
2021-04-16 00:00:00+00:00,937
2021-04-23 00:00:00+00:00,938
2021-04-28 00:00:00+00:00,939
2021-04-29 00:00:00+00:00,941
2021-04-30 00:00:00+00:00,942
2021-05-01 00:00:00+00:00,943
2021-05-06 00:00:00+00:00,944
2021-05-16 00:00:00+00:00,946
2021-05-20 00:00:00+00:00,947
2021-05-21 00:00:00+00:00,948
2021-05-22 00:00:00+00:00,949
2021-05-23 00:00:00+00:00,950
2021-05-25 00:00:00+00:00,952
2021-05-27 00:00:00+00:00,954
2021-05-29 00:00:00+00:00,955
2021-05-30 00:00:00+00:00,956
2021-06-01 00:00:00+00:00,957
2021-06-02 00:00:00+00:00,958
2021-06-03 00:00:00+00:00,960
2021-06-04 00:00:00+00:00,961
2021-06-09 00:00:00+00:00,962
2021-06-11 00:00:00+00:00,963
2021-06-12 00:00:00+00:00,964
2021-06-14 00:00:00+00:00,965
2021-06-15 00:00:00+00:00,966
2021-06-16 00:00:00+00:00,967
2021-06-19 00:00:00+00:00,968
2021-06-20 00:00:00+00:00,969
2021-06-24 00:00:00+00:00,970
2021-06-25 00:00:00+00:00,971
2021-06-28 00:00:00+00:00,972
2021-06-30 00:00:00+00:00,973
2021-07-04 00:00:00+00:00,975
2021-07-07 00:00:00+00:00,976
2021-07-08 00:00:00+00:00,979
2021-07-09 00:00:00+00:00,980
2021-07-10 00:00:00+00:00,982
2021-07-11 00:00:00+00:00,983
2021-07-14 00:00:00+00:00,984
2021-07-16 00:00:00+00:00,985
2021-07-17 00:00:00+00:00,986
2021-07-19 00:00:00+00:00,988
2021-07-22 00:00:00+00:00,989
2021-07-25 00:00:00+00:00,991
2021-07-26 00:00:00+00:00,993
2021-07-28 00:00:00+00:00,995
2021-08-01 00:00:00+00:00,996
2021-08-04 00:00:00+00:00,997
2021-08-08 00:00:00+00:00,998
2021-08-09 00:00:00+00:00,1000
2021-08-10 00:00:00+00:00,1001
2021-08-13 00:00:00+00:00,1002
2021-08-14 00:00:00+00:00,1004
2021-08-15 00:00:00+00:00,1005
2021-08-18 00:00:00+00:00,1006
2021-08-19 00:00:00+00:00,1007
2021-08-21 00:00:00+00:00,1008
2021-08-23 00:00:00+00:00,1010
2021-08-25 00:00:00+00:00,1012
2021-08-26 00:00:00+00:00,1013
2021-08-27 00:00:00+00:00,1018
2021-08-28 00:00:00+00:00,1020
2021-08-29 00:00:00+00:00,1021
2021-08-30 00:00:00+00:00,1022
2021-09-01 00:00:00+00:00,1023
2021-09-02 00:00:00+00:00,1024
2021-09-03 00:00:00+00:00,1025
